Book-Title,Book-Author,ISBN,Year-Of-Publication,Image-URL-S,num_ratings,avg_rating
The Once and Future King,T. H. White,0441627404,1987,http://images.amazon.com/images/P/0441627404.01.THUMBZZZ.jpg,73.0,3.1506849315068495
Doomsday Book,Connie Willis,0553562738,1993,http://images.amazon.com/images/P/0553562738.01.THUMBZZZ.jpg,69.0,3.536231884057971
Lion of Ireland (Celtic World of Morgan Llywelyn),Morgan Llywelyn,0812553993,1996,http://images.amazon.com/images/P/0812553993.01.THUMBZZZ.jpg,14.0,1.5714285714285714
"Merlin (The Pendragon Cycle , Book 2)",Stephen R. Lawhead,0380708892,1990,http://images.amazon.com/images/P/0380708892.01.THUMBZZZ.jpg,23.0,2.869565217391304
Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead,038070613X,1990,http://images.amazon.com/images/P/038070613X.01.THUMBZZZ.jpg,37.0,3.972972972972973
Smart Vs. Pretty,Valerie Frankel,0380805421,2000,http://images.amazon.com/images/P/0380805421.01.THUMBZZZ.jpg,25.0,1.16
Where You Once Belonged,KENT HARUF,0375708707,2000,http://images.amazon.com/images/P/0375708707.01.THUMBZZZ.jpg,15.0,2.8666666666666667
The Gashlycrumb Tinies,Edward Gorey,0151003084,1997,http://images.amazon.com/images/P/0151003084.01.THUMBZZZ.jpg,8.0,4.25
Triumph of the Darksword (Darksword Trilogy),MARGARET WEIS,0553274066,1997,http://images.amazon.com/images/P/0553274066.01.THUMBZZZ.jpg,25.0,2.08
My Idea of Fun,WILL SELF,0679750932,1995,http://images.amazon.com/images/P/0679750932.01.THUMBZZZ.jpg,9.0,1.8888888888888888
The Handmaid's Tale : A Novel,Margaret Atwood,038549081X,1998,http://images.amazon.com/images/P/038549081X.01.THUMBZZZ.jpg,136.0,4.117647058823529
Headlong (Bestselling Backlist),Michael Frayn,0312267460,2000,http://images.amazon.com/images/P/0312267460.01.THUMBZZZ.jpg,29.0,3.586206896551724
Chocolat,Joanne Harris,0552998486,2000,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,112.0,3.8035714285714284
Rancid Aluminum,James Hawes,0099759713,0,http://images.amazon.com/images/P/0099759713.01.THUMBZZZ.jpg,10.0,2.5
Vanity Fair (Wordsworth Collection),William Makepeace Thackeray,1853260193,1998,http://images.amazon.com/images/P/1853260193.01.THUMBZZZ.jpg,18.0,2.5
Confessions of an English Opium Eater,T. De Quincey,1853260967,1999,http://images.amazon.com/images/P/1853260967.01.THUMBZZZ.jpg,15.0,2.0
Madame Bovary (Classics S.),Gustave Flaubert,0140440151,1970,http://images.amazon.com/images/P/0140440151.01.THUMBZZZ.jpg,16.0,4.375
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,0439139597,2000,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,194.0,6.541237113402062
The 10th Kingdom (Hallmark Entertainment Books),Kathryn Wesley,1575665379,2000,http://images.amazon.com/images/P/1575665379.01.THUMBZZZ.jpg,22.0,2.590909090909091
"Redwall (Redwall, Book 1)",Brian Jacques,0441005489,1998,http://images.amazon.com/images/P/0441005489.01.THUMBZZZ.jpg,94.0,3.734042553191489
Where the Lilies Bloom,Bill Cleaver,0064470059,1989,http://images.amazon.com/images/P/0064470059.01.THUMBZZZ.jpg,11.0,2.6363636363636362
Sacred,Dennis Lehane,0380726297,1998,http://images.amazon.com/images/P/0380726297.01.THUMBZZZ.jpg,29.0,3.4827586206896552
ANOTHER ROADSIDE ATTRACTION,TOM ROBBINS,0553292056,1991,http://images.amazon.com/images/P/0553292056.01.THUMBZZZ.jpg,17.0,3.4705882352941178
The Time Machine (Bantam Classics),H. G. Wells,0553213512,1984,http://images.amazon.com/images/P/0553213512.01.THUMBZZZ.jpg,18.0,4.055555555555555
Faithless: Tales of Transgression,Joyce Carol Oates,0060933577,2002,http://images.amazon.com/images/P/0060933577.01.THUMBZZZ.jpg,9.0,3.111111111111111
Answered Prayers,DANIELLE STEEL,044023672X,2003,http://images.amazon.com/images/P/044023672X.01.THUMBZZZ.jpg,45.0,2.088888888888889
I Can Read With My Eyes Shut (I Can Read It All by Myself Beginner Books),Dr. Seuss,0394839129,1978,http://images.amazon.com/images/P/0394839129.01.THUMBZZZ.jpg,20.0,4.3
Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,0440180295,1991,http://images.amazon.com/images/P/0440180295.01.THUMBZZZ.jpg,169.0,4.094674556213017
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,0884270610,1992,http://images.amazon.com/images/P/0884270610.01.THUMBZZZ.jpg,13.0,5.615384615384615
Stiller,Max Frisch,351836605X,1954,http://images.amazon.com/images/P/351836605X.01.THUMBZZZ.jpg,14.0,4.428571428571429
The Hotel New Hampshire,John Irving,034540047X,1995,http://images.amazon.com/images/P/034540047X.01.THUMBZZZ.jpg,36.0,3.4166666666666665
Drinking the Rain,Alix Kates Shulman,0140255842,1996,http://images.amazon.com/images/P/0140255842.01.THUMBZZZ.jpg,10.0,3.2
Kiss of the Bees: A Novel of Suspense,J.A. Jance,0380805995,2001,http://images.amazon.com/images/P/0380805995.01.THUMBZZZ.jpg,53.0,2.943396226415094
The Best of Friends: Joanna Trollope,Joanna Trollope,0425169375,1999,http://images.amazon.com/images/P/0425169375.01.THUMBZZZ.jpg,11.0,2.0
P Is for Peril,Sue Grafton,0449003795,2002,http://images.amazon.com/images/P/0449003795.01.THUMBZZZ.jpg,222.0,2.6486486486486487
Finding Mr. Right,EMILY CARMICHAEL,055357874X,1999,http://images.amazon.com/images/P/055357874X.01.THUMBZZZ.jpg,15.0,1.3333333333333333
Name of the Rose-Nla,Umberto Eco,0446322180,1984,http://images.amazon.com/images/P/0446322180.01.THUMBZZZ.jpg,58.0,3.4655172413793105
Beach House,Mary Alice Monroe,1551668998,2002,http://images.amazon.com/images/P/1551668998.01.THUMBZZZ.jpg,111.0,2.9279279279279278
Decider,Dick Francis,0515116173,1995,http://images.amazon.com/images/P/0515116173.01.THUMBZZZ.jpg,45.0,2.1555555555555554
Sudden Mischief,Robert B. Parker,042516828X,1999,http://images.amazon.com/images/P/042516828X.01.THUMBZZZ.jpg,34.0,3.323529411764706
Black Beauty (Wordsworth Collection),A. Sewell,1853261092,1998,http://images.amazon.com/images/P/1853261092.01.THUMBZZZ.jpg,12.0,3.5
QuiÃ©n se ha llevado mi queso?,Spencer Johnson,8479534451,1999,http://images.amazon.com/images/P/8479534451.01.THUMBZZZ.jpg,8.0,3.625
The Tenth Insight : Holding the Vision,James Redfield,0446519081,1996,http://images.amazon.com/images/P/0446519081.01.THUMBZZZ.jpg,65.0,2.5846153846153848
The Celestine Prophecy (Celestine Prophecy),James Redfield,044651862X,1994,http://images.amazon.com/images/P/044651862X.01.THUMBZZZ.jpg,186.0,2.795698924731183
Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,Robert M. Pirsig,0688002307,1974,http://images.amazon.com/images/P/0688002307.01.THUMBZZZ.jpg,9.0,2.0
Work as a Spiritual Practice : A Practical Buddhist Approach to Inner Growth and Satisfaction on the Job,LEWIS RICHMOND,0767902335,2000,http://images.amazon.com/images/P/0767902335.01.THUMBZZZ.jpg,14.0,3.2857142857142856
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,1577311523,1999,http://images.amazon.com/images/P/1577311523.01.THUMBZZZ.jpg,24.0,3.5416666666666665
Chariots of the Gods: Unsolved Mysteries of the Past,Erich Von Daniken,0425166805,1999,http://images.amazon.com/images/P/0425166805.01.THUMBZZZ.jpg,9.0,0.0
The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,0874776945,1992,http://images.amazon.com/images/P/0874776945.01.THUMBZZZ.jpg,70.0,3.7714285714285714
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,043935806X,2003,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg,334.0,5.57185628742515
Conversations with God for Teens,Neale Donald Walsch,0439313899,2002,http://images.amazon.com/images/P/0439313899.01.THUMBZZZ.jpg,12.0,3.1666666666666665
May the Angels Be With You: A Psychic Helps You Find Your Spirit Guides and Your True Purpose,Gary Quinn,0609608045,2001,http://images.amazon.com/images/P/0609608045.01.THUMBZZZ.jpg,8.0,3.25
Witch Alone: Thirteen Moons to Master Natural Magic,Marian Green,1855381125,1991,http://images.amazon.com/images/P/1855381125.01.THUMBZZZ.jpg,9.0,2.888888888888889
Modern Magick: Eleven Lessons in the High Magickal Arts (Llewellyn's High Magick),Donald Michael Kraig,0875423248,1988,http://images.amazon.com/images/P/0875423248.01.THUMBZZZ.jpg,9.0,4.222222222222222
Idoru,William Gibson,0425158640,1997,http://images.amazon.com/images/P/0425158640.01.THUMBZZZ.jpg,66.0,2.8636363636363638
TOUCHED WITH FIRE: Manic Depressive Illness and the Artistic Temperament,Kay Redfield Jamison,068483183X,1996,http://images.amazon.com/images/P/068483183X.01.THUMBZZZ.jpg,10.0,4.5
Bully : Does Anyone Deserve to Die?,Jim Schutze,0380723336,1998,http://images.amazon.com/images/P/0380723336.01.THUMBZZZ.jpg,12.0,2.5833333333333335
The Canterbury Tales (Bantam Classics),Geoffrey Chaucer,0553210823,1982,http://images.amazon.com/images/P/0553210823.01.THUMBZZZ.jpg,30.0,3.3
A Wizard of Earthsea (Pelican Books),Ursula K. Le Guin,0140304770,1971,http://images.amazon.com/images/P/0140304770.01.THUMBZZZ.jpg,23.0,3.391304347826087
Moby-Dick,HERMAN MELVILLE,0553213113,1981,http://images.amazon.com/images/P/0553213113.01.THUMBZZZ.jpg,29.0,1.5172413793103448
The Day After Tomorrow,Whitley Strieber,0743489063,2004,http://images.amazon.com/images/P/0743489063.01.THUMBZZZ.jpg,12.0,0.6666666666666666
The Poyson Garden: An Elizabethan I Mystery (Elizabeth I Mysteries (Paperback)),Karen Harper,0440225922,2000,http://images.amazon.com/images/P/0440225922.01.THUMBZZZ.jpg,17.0,2.9411764705882355
Pelican Brief,John Grisham,0099993805,0,http://images.amazon.com/images/P/0099993805.01.THUMBZZZ.jpg,36.0,3.25
Running In Heels: A Novel,Anna Maxted,0060988258,2002,http://images.amazon.com/images/P/0060988258.01.THUMBZZZ.jpg,35.0,3.1142857142857143
THROUGH THE ICE,Piers Anthony,0671721135,1992,http://images.amazon.com/images/P/0671721135.01.THUMBZZZ.jpg,16.0,3.3125
The Hungry Ocean : A Swordboat Captain's Journey,Linda Greenlaw,0786864516,1999,http://images.amazon.com/images/P/0786864516.01.THUMBZZZ.jpg,9.0,6.444444444444445
Hideaway,Dean R. Koontz,042513525X,1992,http://images.amazon.com/images/P/042513525X.01.THUMBZZZ.jpg,139.0,2.5179856115107913
"Severe Mercy, A",Sheldon Vanauken,0060688246,1987,http://images.amazon.com/images/P/0060688246.01.THUMBZZZ.jpg,8.0,1.875
The Cat Who Brought Down the House,Lilian Jackson Braun,0399149422,2003,http://images.amazon.com/images/P/0399149422.01.THUMBZZZ.jpg,29.0,4.206896551724138
A Ring of Endless Light (Austin Family),Madeleine L'Engle,0440972329,1981,http://images.amazon.com/images/P/0440972329.01.THUMBZZZ.jpg,33.0,2.6666666666666665
The Tommyknockers,Stephen King,0451156609,1994,http://images.amazon.com/images/P/0451156609.01.THUMBZZZ.jpg,170.0,3.1588235294117646
"Sunny (California Diaries, 2)",Ann M. Martin,0590298364,1997,http://images.amazon.com/images/P/0590298364.01.THUMBZZZ.jpg,13.0,0.6153846153846154
Le Vieux Qui Lisait Les Romans Damour,Luis Sepulveda,2020239302,0,http://images.amazon.com/images/P/2020239302.01.THUMBZZZ.jpg,11.0,4.454545454545454
No Digas Que Fue UN Sueno: Marco Antonio Y Cleopatra/Don't Tell It Was a Dream (ColecciÃ³n Autores espaÃ±oles e hispanoamericanos),Terenci Moix,8432055913,1986,http://images.amazon.com/images/P/8432055913.01.THUMBZZZ.jpg,14.0,2.642857142857143
A Trip to the Beach: Living on Island Time in the Caribbean,Melinda Blanchard,060980748X,2001,http://images.amazon.com/images/P/060980748X.01.THUMBZZZ.jpg,14.0,3.5
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,1400031354,2002,http://images.amazon.com/images/P/1400031354.01.THUMBZZZ.jpg,202.0,3.9752475247524752
Self-Reliance and Other Essays (Dover Thrift Editions),Ralph Waldo Emerson,0486277909,1993,http://images.amazon.com/images/P/0486277909.01.THUMBZZZ.jpg,8.0,2.125
Polar Star,Martin Cruz Smith,0394578198,1989,http://images.amazon.com/images/P/0394578198.01.THUMBZZZ.jpg,13.0,3.5384615384615383
L'Homme aux cercles bleus,Fred Vargas,2290318329,2002,http://images.amazon.com/images/P/2290318329.01.THUMBZZZ.jpg,16.0,3.375
Doctors,Erich Segal,0553278118,1989,http://images.amazon.com/images/P/0553278118.01.THUMBZZZ.jpg,35.0,2.6285714285714286
"Deep Trouble (Goosebumps, No 19)",R. L. Stine,0590477412,1996,http://images.amazon.com/images/P/0590477412.01.THUMBZZZ.jpg,28.0,1.3214285714285714
The Betrayal (The Fear Street Saga 1),R.L. Stine,0671868314,1993,http://images.amazon.com/images/P/0671868314.01.THUMBZZZ.jpg,15.0,0.7333333333333333
Three Blind Mice and Other Stories,Agatha Christie,0425068064,1997,http://images.amazon.com/images/P/0425068064.01.THUMBZZZ.jpg,12.0,3.4166666666666665
The Unexpected Guest: A Mystery,Agatha Christie,0312975120,2000,http://images.amazon.com/images/P/0312975120.01.THUMBZZZ.jpg,11.0,2.4545454545454546
Six Great Sherlock Holmes Stories (Dover Thrift Editions),"Arthur Conan, Sir Doyle",0486270556,1992,http://images.amazon.com/images/P/0486270556.01.THUMBZZZ.jpg,22.0,2.772727272727273
Runaway Ralph (Cleary Reissue),Beverly Cleary,0380709538,1991,http://images.amazon.com/images/P/0380709538.01.THUMBZZZ.jpg,31.0,3.7419354838709675
She Said Yes : The Unlikely Martyrdom of Cassie Bernall,Misty Bernall,0743400526,2000,http://images.amazon.com/images/P/0743400526.01.THUMBZZZ.jpg,30.0,3.2333333333333334
Flawless,Adam Barrow,0451188497,1996,http://images.amazon.com/images/P/0451188497.01.THUMBZZZ.jpg,10.0,2.6
HEAVEN,V. C. Andrews,0671656589,1987,http://images.amazon.com/images/P/0671656589.01.THUMBZZZ.jpg,11.0,2.272727272727273
Midnight Whispers (Cutler),V.C. Andrews,0671695169,1992,http://images.amazon.com/images/P/0671695169.01.THUMBZZZ.jpg,77.0,2.142857142857143
Twilight's Child (Cutler),V.C. Andrews,0671695142,1992,http://images.amazon.com/images/P/0671695142.01.THUMBZZZ.jpg,76.0,1.8421052631578947
My Sweet Audrina,V.C. Andrews,0671729462,1990,http://images.amazon.com/images/P/0671729462.01.THUMBZZZ.jpg,41.0,3.682926829268293
A Walk to Remember,Nicholas Sparks,0446608955,2000,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg,284.0,3.4295774647887325
1984 (Everyman's Library),GEORGE ORWELL,0679417397,1992,http://images.amazon.com/images/P/0679417397.01.THUMBZZZ.jpg,11.0,5.0
How Proust Can Change Your Life: Not a Novel,Alain De Botton,0679779159,1998,http://images.amazon.com/images/P/0679779159.01.THUMBZZZ.jpg,10.0,3.7
Firefly Summer,Maeve Binchy,0440204194,1989,http://images.amazon.com/images/P/0440204194.01.THUMBZZZ.jpg,91.0,2.4065934065934065
Deadly Exposure,Leonard Goldberg,0451408721,2000,http://images.amazon.com/images/P/0451408721.01.THUMBZZZ.jpg,13.0,2.769230769230769
Dianetics: The Modern Science of Mental Health: A Handbook of Dianetics Procedure,L. Ron Hubbard,0884042693,1986,http://images.amazon.com/images/P/0884042693.01.THUMBZZZ.jpg,19.0,1.4210526315789473
Il sentiero dei nidi di ragno (Oscar Mondadori),Italo Calvino,8804375914,1995,http://images.amazon.com/images/P/8804375914.01.THUMBZZZ.jpg,12.0,4.166666666666667
Danziger's Travels: Beyond Forbidden Frontiers,Nick Danziger,0586087060,1993,http://images.amazon.com/images/P/0586087060.01.THUMBZZZ.jpg,9.0,3.7777777777777777
Elephant Song,WILBUR SMITH,0449221032,1995,http://images.amazon.com/images/P/0449221032.01.THUMBZZZ.jpg,14.0,2.7142857142857144
Journey,James A. Michener,0449218473,1994,http://images.amazon.com/images/P/0449218473.01.THUMBZZZ.jpg,39.0,1.8461538461538463
Mary Kay : The Story of America's Most Dynamic Businesswoman,Mary Kay Ash,0060926015,1994,http://images.amazon.com/images/P/0060926015.01.THUMBZZZ.jpg,12.0,4.166666666666667
The Cunning Man: A Novel,Robertson Davies,0140248307,1996,http://images.amazon.com/images/P/0140248307.01.THUMBZZZ.jpg,8.0,1.0
Relatos de Los Inesperado,Roald Dahl,8433920863,1995,http://images.amazon.com/images/P/8433920863.01.THUMBZZZ.jpg,11.0,3.0
Tre Cavalli,Erri De Luca,8807816814,2002,http://images.amazon.com/images/P/8807816814.01.THUMBZZZ.jpg,9.0,4.555555555555555
Das Zweite GedÃ?Â¤chtnis.,Ken Follett,3404149114,2003,http://images.amazon.com/images/P/3404149114.01.THUMBZZZ.jpg,13.0,5.6923076923076925
Les Nuits Fauves/Savage Nights,Collard,2277229938,1994,http://images.amazon.com/images/P/2277229938.01.THUMBZZZ.jpg,9.0,3.4444444444444446
L'Alchimiste,Paulo Coelho,2253150908,2002,http://images.amazon.com/images/P/2253150908.01.THUMBZZZ.jpg,8.0,6.75
"Les Dames du lac, tome 1",Marion Zimmer Bradley,2253044911,1988,http://images.amazon.com/images/P/2253044911.01.THUMBZZZ.jpg,14.0,3.7857142857142856
Le Nom de la rose,Umberto Eco,2253033138,2002,http://images.amazon.com/images/P/2253033138.01.THUMBZZZ.jpg,14.0,4.5
The Optimist's Daughter,Eudora Welty,067972883X,1990,http://images.amazon.com/images/P/067972883X.01.THUMBZZZ.jpg,15.0,3.6
Holes (Yearling Newbery),LOUIS SACHAR,0440414806,2000,http://images.amazon.com/images/P/0440414806.01.THUMBZZZ.jpg,154.0,4.2727272727272725
Eric (Discworld Novels (Paperback)),Terry Pratchett,0380821214,2002,http://images.amazon.com/images/P/0380821214.01.THUMBZZZ.jpg,8.0,5.125
The Outsiders (Now in Speak!),S. E. Hinton,014038572X,1997,http://images.amazon.com/images/P/014038572X.01.THUMBZZZ.jpg,89.0,4.46067415730337
La caverna = A caverna,Jose Saramago,846630679X,2002,http://images.amazon.com/images/P/846630679X.01.THUMBZZZ.jpg,17.0,6.352941176470588
"Three Men in a Boat, to Say Nothing of the Dog! (Penguin Popular Classics)",Jerome K. Jerome,0140621334,1994,http://images.amazon.com/images/P/0140621334.01.THUMBZZZ.jpg,18.0,2.888888888888889
The Summons,John Grisham,0440241073,2002,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,456.0,3.1951754385964914
Second Child,John Saul,0553287303,1997,http://images.amazon.com/images/P/0553287303.01.THUMBZZZ.jpg,62.0,1.3709677419354838
The Green Mile: The Mouse on the Mile (Green Mile Series),Stephen King,0451190521,1996,http://images.amazon.com/images/P/0451190521.01.THUMBZZZ.jpg,72.0,3.5694444444444446
The Two Dead Girls (Green Mile Series),Stephen King,0451190491,1996,http://images.amazon.com/images/P/0451190491.01.THUMBZZZ.jpg,85.0,3.788235294117647
The STALLION,Harold Robbins,067187294X,1996,http://images.amazon.com/images/P/067187294X.01.THUMBZZZ.jpg,12.0,0.9166666666666666
Perfect Victim,Christine McGuire,0440204429,1989,http://images.amazon.com/images/P/0440204429.01.THUMBZZZ.jpg,28.0,2.892857142857143
Les Heures / The Hours,Michael Cunningham,2266102621,2001,http://images.amazon.com/images/P/2266102621.01.THUMBZZZ.jpg,11.0,5.090909090909091
Hygiene De Lassassin,Amelie Nothomb,202025462X,2002,http://images.amazon.com/images/P/202025462X.01.THUMBZZZ.jpg,23.0,3.4347826086956523
Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,2253044903,1988,http://images.amazon.com/images/P/2253044903.01.THUMBZZZ.jpg,38.0,4.5
Metaphysique Des Tubes,Amelie Nothomb,2253152846,2002,http://images.amazon.com/images/P/2253152846.01.THUMBZZZ.jpg,18.0,6.5
Des fleurs pour algernon,Daniel Keyes,2290312959,2001,http://images.amazon.com/images/P/2290312959.01.THUMBZZZ.jpg,10.0,3.2
The Best of H. P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,H.P. Lovecraft,0345350804,1987,http://images.amazon.com/images/P/0345350804.01.THUMBZZZ.jpg,12.0,5.916666666666667
Nothing Like It In the World : The Men Who Built the Transcontinental Railroad 1863-1869,Stephen E. Ambrose,0743203178,2001,http://images.amazon.com/images/P/0743203178.01.THUMBZZZ.jpg,17.0,3.6470588235294117
"The Enemy Within (Mission Earth, Vol 3)",L. Ron Hubbard,0884042847,1988,http://images.amazon.com/images/P/0884042847.01.THUMBZZZ.jpg,16.0,2.0625
Dispossessed,Ursula K. Le Guin,0380003821,1985,http://images.amazon.com/images/P/0380003821.01.THUMBZZZ.jpg,23.0,3.130434782608696
Matarese Circle,Robert Ludlum,0553241575,1981,http://images.amazon.com/images/P/0553241575.01.THUMBZZZ.jpg,8.0,1.875
Road to Gandolfo,Robert Ludlum,0553205315,1992,http://images.amazon.com/images/P/0553205315.01.THUMBZZZ.jpg,26.0,1.5769230769230769
The Third Twin,Ken Follett,0449227421,1997,http://images.amazon.com/images/P/0449227421.01.THUMBZZZ.jpg,109.0,2.0091743119266057
Schau Dich nicht um.,Joy Fielding,3442430879,1995,http://images.amazon.com/images/P/3442430879.01.THUMBZZZ.jpg,18.0,2.611111111111111
Dinopark/Jurassic Park,Michael Crichton,3426600218,1994,http://images.amazon.com/images/P/3426600218.01.THUMBZZZ.jpg,31.0,3.2903225806451615
Das BlÃ?Â¼tenstaubzimmer.,Zoe Jenny,3442723833,1999,http://images.amazon.com/images/P/3442723833.01.THUMBZZZ.jpg,12.0,2.5
Married To The Man (Reunited) (Harlequin Superromance No 684),Caroline Arnold,0373706847,1996,http://images.amazon.com/images/P/0373706847.01.THUMBZZZ.jpg,16.0,0.3125
The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,0440414121,1997,http://images.amazon.com/images/P/0440414121.01.THUMBZZZ.jpg,18.0,4.222222222222222
Im Angesicht des Feindes.,Elizabeth George,3442441080,1998,http://images.amazon.com/images/P/3442441080.01.THUMBZZZ.jpg,9.0,6.333333333333333
I Is for Innocent (A Kinsey Millhone Mystery),Sue Grafton,0805010858,1992,http://images.amazon.com/images/P/0805010858.01.THUMBZZZ.jpg,44.0,3.022727272727273
Sign With Your Baby : How to Communicate With Infants Before They Can Speak (book only),Burton White,0963622927,1999,http://images.amazon.com/images/P/0963622927.01.THUMBZZZ.jpg,8.0,5.25
Small Miracles: Extraordinary Coincidences from Everyday Life,Yitta Halberstam,1558506462,1997,http://images.amazon.com/images/P/1558506462.01.THUMBZZZ.jpg,29.0,5.413793103448276
The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,0140245480,1995,http://images.amazon.com/images/P/0140245480.01.THUMBZZZ.jpg,13.0,4.461538461538462
The Godfather,Mario Puzo,0451167716,2004,http://images.amazon.com/images/P/0451167716.01.THUMBZZZ.jpg,54.0,5.518518518518518
Crimson Joy,Robert B. Parker,0440203430,1997,http://images.amazon.com/images/P/0440203430.01.THUMBZZZ.jpg,25.0,1.72
The Winner,David Baldacci,0446606324,1998,http://images.amazon.com/images/P/0446606324.01.THUMBZZZ.jpg,153.0,2.6143790849673203
The Pickwick Papers,Charles Dickens,0553211234,1983,http://images.amazon.com/images/P/0553211234.01.THUMBZZZ.jpg,8.0,2.375
Jane Eyre (Barnes &amp; Noble Classics),Charlotte Bronte,1593080077,2003,http://images.amazon.com/images/P/1593080077.01.THUMBZZZ.jpg,9.0,4.666666666666667
The Best Laid Plans,Sidney Sheldon,0446604089,1998,http://images.amazon.com/images/P/0446604089.01.THUMBZZZ.jpg,64.0,2.640625
A Wild and Lonely Place (Sharon McCone Mysteries (Paperback)),Marcia Muller,0446603287,1996,http://images.amazon.com/images/P/0446603287.01.THUMBZZZ.jpg,20.0,1.7
Bones,Jan Burke,0451202473,2001,http://images.amazon.com/images/P/0451202473.01.THUMBZZZ.jpg,31.0,4.161290322580645
The Trials of Angela,MILLIE CRISWELL,0804119937,2002,http://images.amazon.com/images/P/0804119937.01.THUMBZZZ.jpg,9.0,3.6666666666666665
Chicken Soup for the Unsinkable Soul - Stories of Triumphing Over Life's Obstacles,Jack Canfield,1558746986,1999,http://images.amazon.com/images/P/1558746986.01.THUMBZZZ.jpg,19.0,4.684210526315789
Cultural Literacy: What Every American Needs to Know,E.D. Hirsch Jr.,0394758439,1988,http://images.amazon.com/images/P/0394758439.01.THUMBZZZ.jpg,12.0,2.1666666666666665
The Chosen,Chaim Potok,0449213447,1995,http://images.amazon.com/images/P/0449213447.01.THUMBZZZ.jpg,64.0,3.296875
The Virgin Suicides,Jeffrey Eugenides,0446670251,1994,http://images.amazon.com/images/P/0446670251.01.THUMBZZZ.jpg,185.0,3.772972972972973
La Testa Fra Le Nuvole,Tamaro,8831760122,0,http://images.amazon.com/images/P/8831760122.01.THUMBZZZ.jpg,9.0,0.8888888888888888
Seta (La scala),Alessandro Baricco,8817660590,1996,http://images.amazon.com/images/P/8817660590.01.THUMBZZZ.jpg,9.0,3.5555555555555554
Va' dove ti porta il cuore (Romanzi e racconti),Susanna Tamaro,8885989403,1994,http://images.amazon.com/images/P/8885989403.01.THUMBZZZ.jpg,23.0,1.9130434782608696
Terra!,Benni,8807809907,0,http://images.amazon.com/images/P/8807809907.01.THUMBZZZ.jpg,11.0,3.6363636363636362
Mr. Macgregor,Alan Titchmarsh,0671015842,1999,http://images.amazon.com/images/P/0671015842.01.THUMBZZZ.jpg,13.0,3.0
To the Lighthouse (Penguin Popular Classics),Virginia Woolf,0140622144,1996,http://images.amazon.com/images/P/0140622144.01.THUMBZZZ.jpg,17.0,2.5294117647058822
Well Groomed,Fiona Walker,034066049X,1997,http://images.amazon.com/images/P/034066049X.01.THUMBZZZ.jpg,12.0,1.6666666666666667
From Potter's Field,Patricia Daniels Cornwell,0425154092,1996,http://images.amazon.com/images/P/0425154092.01.THUMBZZZ.jpg,229.0,3.296943231441048
It's Not About the Bike: My Journey Back to Life,Lance Armstrong,0425179613,2001,http://images.amazon.com/images/P/0425179613.01.THUMBZZZ.jpg,94.0,3.3191489361702127
Anil's Ghost (Vintage International),Michael Ondaatje,0375724370,2001,http://images.amazon.com/images/P/0375724370.01.THUMBZZZ.jpg,58.0,3.1724137931034484
Sidetracked Home Executives(TM) : From Pigpen to Paradise,Pam Young,0446677671,2001,http://images.amazon.com/images/P/0446677671.01.THUMBZZZ.jpg,11.0,3.090909090909091
"Get Your Act Together!: A 7-Day Get-Organized Program for the Overworked, Overbooked, and Overwhelmed",Pam Young,0060969911,1993,http://images.amazon.com/images/P/0060969911.01.THUMBZZZ.jpg,10.0,3.5
Der Regenmacher.,John Grisham,3453127013,1997,http://images.amazon.com/images/P/3453127013.01.THUMBZZZ.jpg,18.0,4.555555555555555
Smiley's People,John le Carre,0330262726,1980,http://images.amazon.com/images/P/0330262726.01.THUMBZZZ.jpg,9.0,2.7777777777777777
Honourable Schoolboy,John Le Carre,0330253565,0,http://images.amazon.com/images/P/0330253565.01.THUMBZZZ.jpg,14.0,1.4285714285714286
The Summerhouse,Jude Deveraux,0671014196,2002,http://images.amazon.com/images/P/0671014196.01.THUMBZZZ.jpg,187.0,2.6363636363636362
"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,0688171877,1999,http://images.amazon.com/images/P/0688171877.01.THUMBZZZ.jpg,33.0,4.181818181818182
Cold Mountain,Charles Frazier,0871136791,1997,http://images.amazon.com/images/P/0871136791.01.THUMBZZZ.jpg,191.0,3.3089005235602094
